antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'cottonwood', 'deodar cedar'})",frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'cottonwood'}),"frozenset({'austrian pine', 'deodar cedar'})",0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'siberian elm', 'austrian pine'})",frozenset({'cottonwood'}),0.2,0.2,0.2,1.0,5.0,1.0,0.16,inf,0.9999999999999998,1.0,1.0,1.0
"frozenset({'siberian elm', 'cottonwood'})",frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'austrian pine', 'cottonwood'})",frozenset({'siberian elm'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'cottonwood'}),"frozenset({'siberian elm', 'austrian pine'})",0.2,0.2,0.2,1.0,5.0,1.0,0.16,inf,0.9999999999999998,1.0,1.0,1.0
"frozenset({'austrian pine', 'cottonwood'})",frozenset({'texas red oak'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
"frozenset({'cottonwood', 'texas red oak'})",frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'cottonwood'}),"frozenset({'austrian pine', 'texas red oak'})",0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'austrian pine', 'crabapple'})",frozenset({'deodar cedar'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
"frozenset({'austrian pine', 'crabapple'})",frozenset({'siberian elm'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'siberian elm', 'austrian pine'})",frozenset({'crabapple'}),0.2,0.8,0.2,1.0,1.25,1.0,0.03999999999999998,inf,0.24999999999999983,0.25,1.0,0.625
"frozenset({'austrian pine', 'crabapple'})",frozenset({'texas red oak'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
"frozenset({'austrian pine', 'london plane'})",frozenset({'deodar cedar'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
"frozenset({'deodar cedar', 'london plane'})",frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
frozenset({'london plane'}),"frozenset({'austrian pine', 'deodar cedar'})",0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'siberian elm', 'austrian pine'})",frozenset({'deodar cedar'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
"frozenset({'siberian elm', 'deodar cedar'})",frozenset({'austrian pine'}),0.2,0.4,0.2,1.0,2.5,1.0,0.12,inf,0.7499999999999998,0.49999999999999994,1.0,0.75
"frozenset({'austrian pine', 'deodar cedar'})",frozenset({'texas red oak'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
"frozenset({'austrian pine', 'texas red oak'})",frozenset({'deodar cedar'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
frozenset({'austrian pine'}),"frozenset({'deodar cedar', 'texas red oak'})",0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
"frozenset({'austrian pine', 'london plane'})",frozenset({'texas red oak'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
